stock,return,market,excess,sharpe,max_dd,win_rate,trades
060980_한라홀딩스,-19.03979243118361,-24.89035087719276,5.850558446009149,-0.026386728147767984,-47.41935483405955,45.38461538461539,11
010620_현대미포조선,204.5870328113781,198.88641425389778,5.700618557480311,0.7426349828118337,-48.94146948452059,47.28888888888889,11
009540_현대중공업,87.05759004238051,81.67330677290818,5.384283269472334,0.498720624436605,-56.822429901778804,46.16724738675958,9
004170_신세계,-49.41621760328464,-54.52991452991436,5.113696926629714,-0.3230733453409628,-60.900621113039634,44.68641114982578,3
051600_한전KPS,19.43262385183797,14.396887159533245,5.0357366923047255,0.5209920750295362,-35.310964242626525,46.913580246913575,20
051910_LG화학,-15.712731690077685,-20.382165605095683,4.669433915017997,0.05824550257915509,-70.12121211869113,46.089150546677885,5
003410_쌍용양회,19.788608836861,15.131578947367741,4.657029889493257,0.40003335148958086,-43.94644935673103,43.1237721021611,9
000430_대원강업,18.349712048003642,14.076246334311504,4.273465713692138,0.4139705384220758,-48.04058301434043,47.03891708967851,7
007310_오뚜기,-23.914334484646517,-27.959927140254948,4.045592655608431,-0.12216634733190694,-42.34608984633497,43.755781683626275,15
005930_삼성전자,0.3905010186747271,-3.6231884057970953,4.013689424471822,0.021771277815793057,-40.214393446952045,46.35036496350365,10
020000_한섬,-49.185161271107006,-53.003194888178925,3.8180336170719187,-0.39651041507104695,-71.05157130931352,44.04057480980558,5
003240_태광산업,-39.442223484583074,-43.00469483568081,3.5624713510977344,-0.27468139376686634,-56.92307691792225,42.37885462555066,9
036570_엔씨소프트,-63.30444959172834,-66.15526802218103,2.8508184304526907,-0.2083180153096189,-83.75184177242222,45.977984758679085,6
161890_한국콜마,16.195854304250034,13.60824742268052,2.5876068815695135,0.5315809532527819,-43.30336876725859,45.46511627906977,24
000120_CJ대한통운,-42.659608659258865,-44.655737704917875,1.9961290456590106,-0.3512180848998583,-64.48643545058536,42.857142857142854,35
071050_한국금융지주,2.34956819197385,0.5641748942175839,1.7853932977562659,0.10026946824431171,-59.87241629201658,46.63299663299663,7
002790_아모레G,-73.48915462661687,-74.99999999999997,1.5108453733831055,-0.5273710663737206,-73.86582168317449,45.80152671755725,19
008770_호텔신라,-59.828755771719585,-60.744680851063926,0.9159250793443405,-0.5633184611318326,-68.05443198780168,43.24324324324324,11
007570_일양약품,-49.6701311577109,-50.0656455142233,0.3955143565124004,0.14387824327877138,-82.84514127477424,42.599620493358636,15
009680_모토닉,-4.683627693948766,-5.061867266591746,0.3782395726429799,0.1814833025624033,-52.480239809454055,45.028759244042725,3
108670_LG하우시스,-41.80201310614201,-41.89435336976338,0.0923402636213666,-0.10876814923043014,-71.01159114384319,44.93850520340587,19
